编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,桥段名称,前置铺垫,核心爽点,转折设计,反套路变种,毒点
TR-001,write|plan,桥段,知识补充,退婚流|三年之约|弃徒反击|莫欺少年穷,退婚流怎么写|被逐出后怎么反击|三年之约怎么立,玄幻|仙侠,羞辱要现实且势利，反击先立誓和蓄力，不要刚被退婚就无代价秒翻盘。,退婚或逐出型桥段要先把尊严踩到底，再用三年之约或延迟兑现把压抑转成长线期待。,关键不是当场战力碾压，而是让读者看到主角被逼到绝境后如何收回体面并锁定未来反杀目标。,退婚三年之约,当众羞辱|身份贬低|旧关系断裂,尊严找回|长线逆袭承诺,通过血脉觉醒|隐藏传承|旧物认主等方式埋下后续兑现点,改成女主主动休夫或主角反手写下断绝书，让桥段不只停留在被动受辱,
TR-002,write|plan,桥段,知识补充,追妻火葬场|带球跑|契约婚姻|重逢修罗场,总裁追妻怎么写|带球跑重逢怎么写|机场重逢修罗场,现言|古言|幻言,先让误会和伤害成立，再用重逢场景叠加身份冲击、孩子线索或公开表态制造连锁情绪。,追妻火葬场重逢桥段的核心不是强吻本身，而是旧伤、误会和未断情感在同一场景同时爆开。,前半段要让女主拥有明确离开的理由，重逢时再通过孩子、身份差和公众场合压力把情绪抬到最高点。,追妻火葬场重逢围堵,旧伤未愈|双方误会未解|关系被迫中断,情感回收|身份冲击|占有欲反扑,通过孩子露面|公开宣示|第三人误会升级把场面推向失控,把围堵改成克制公开维护或反向选择放手，让男主先付出代价而非直接控场,
TR-003,write|plan,桥段,知识补充,打脸权威|权威质疑|当众证明|专家翻车,被权威质疑怎么办|当众证明自己|专家看不起后反转,全部,让质疑建立在规则、证据或经验上，再用更硬的实绩反转，避免围观群众和权威集体降智。,打脸权威桥段要先让权威的判断看似合理，再用更高维的信息或能力在众目睽睽下推翻结论。,最好让主角的证明方式直接改写场内规则，例如现场解决难题、拿出关键证据或完成所有人以为做不到的操作。,权威质疑后当场打脸,规则压制|身份不被承认|权威公开否定,规则翻盘|集体失声|权威尴尬,先给读者一个假结束点，再追加更高层级的证明完成补刀,把最终尴尬留给旁观者和制度本身，让权威不是单纯被骂而是被事实架空,
TR-004,write|plan,桥段,知识补充,追妻火葬场|追夫火葬场|悔过弧线|破镜重圆,火葬场四阶段怎么排|追妻悔过怎么写|追夫火葬场节奏,现言|古言|幻言,先确认过错仍可洗白，再把悔过拆成醒悟、受虐、付出、边界四段，禁止跳过受罚直接和好。,追妻或追夫火葬场要让悔过经历醒悟、受虐、付出、有限原谅四段，爽点来自对方真正吃够苦头后才获得靠近资格。,前半段要明确离开的合理性和伤害性质，中段通过失控、嫉妒、公开难堪等方式展示痛感，后段必须用真代价换来关系松动，最终原谅也要保留边界与考察期。,追妻火葬场四阶段悔过,可原谅的误会或忽视|关系破裂|一方彻底离开,后悔受虐|真代价挽回|有限松口,从醉酒失控|淋雨守候推进到替对方挡灾或放弃利益,把终局写成重新追求而非立刻复合，让悔过方先拿到入场券而不是终局奖励,
TR-005,write|plan,桥段,知识补充,穿越开局|重生开局|身份反差|危机钩子,穿越开局怎么写|黄金三章怎么起|开局危机钩子,全部,开局一页内交代穿越方式、当前身份和立即威胁，优先抛出危机或惊人身份，不要长篇解释背景。,穿越开局要在最短篇幅内完成迷茫、确认身份、决定行动三个动作，并用即时危险或爆炸身份钩住读者。,比起完整说明世界观，更重要的是让主角一醒来就面对要死、要暴露、要站队或要背锅的问题，系统或传承只负责给行动抓手，不负责替代第一波危机。,穿越开局危机钩子,现代生活切断|异世身份异常|开局环境失控,身份反差|危机求生|快速拿到抓手,用系统激活|记忆回流|遇到关键角色把迷茫转成行动,把落点放在弱势甚至反派位置，让主角先自救而不是直接天胡开局,
TR-006,write|plan,桥段,知识补充,根骨检测|天赋测试|异象出金|天才出世,根骨检测怎么写|天赋测试爽点|抽卡出金桥段,玄幻|仙侠,异象要先铺普通预期再突然拔高，并补上保密和争夺后果，避免只有围观震惊没有后续动作。,根骨或天赋检测桥段要先给普通预期，再用异象和系统提示完成出金反差，随后立刻接保密、争抢或暗杀风险。,这类桥段的爽点来自众人认知被瞬间改写，但真正能支撑后续的是宗门争夺、家族封锁消息和资源倾斜，否则异象只剩一次性热闹。,天才检测异象出金,普通检测流程|家族或宗门围观|对主角预期偏低,爆冷出金|满场震惊|资源倾斜,通过异象升级|系统判定|高层封锁消息把场面推向更大漩涡,先被判平庸后于复测翻盘，让爽点从立刻震惊改成延迟爆开,
TR-007,write|plan,桥段,知识补充,久别重逢|破镜重圆|前任重逢|物是人非,久别重逢怎么写|前任见面怎么有张力|破镜重圆第一场怎么排,现言|古言|幻言,先写物是人非和细节失控，再慢慢放出旧情，不要第一次见面就把话说穿。,久别重逢桥段最动人的不是立刻拥抱，而是两人都在维持体面时细节已经先失守。,公开场合、身份变化或第三人在场都能提高克制感，让一句平常寒暄压住整段旧账和心跳。,久别重逢克制试探,分开多年|旧伤未解|身份变化明显,表面冷静|细节失控|旧情翻涌,通过一句旧称呼|一件旧物|第三人误会把压住的情绪撬开,让重逢后保持距离数章再慢慢破冰，而不是当场抱头痛哭,
TR-008,write|plan,桥段,知识补充,反派洗白|真相反转|恶行真相|不得已屠村,反派恶行怎么反转|洗白桥段怎么写|真相揭露怎么有力,玄幻|仙侠|奇幻|悬疑,先保留恶行的真实后果，再揭示更大威胁和不得已选择，禁止一反转就把伤害清零。,反派恶行反转的力量在于让读者重新理解过去事件，但仍无法轻易原谅结果。,最好通过旧人证词、封印真相或临终回忆完成揭露，让主角产生动摇而不是立刻站队。,反派恶行真相反转,反派背负恶名|主角长期敌视|事件真相被封存,认知翻转|敌我关系复杂化|迟来的理解,通过旧档案|临终自白|关键证人把过去事件重解,揭露真相后仍保留不可修复的裂痕，让反派走向自我收束而非强行入队,
TR-009,write|plan,桥段,知识补充,学院社团|社团招新|校园混战|热闹日常,社团招新怎么写|学院日常怎么热闹|校园群像场面怎么排,衍生|奇幻|都市|玄幻,每个社团都要用不同招新手段展示世界观和功能定位，让热闹场面顺便完成设定展示。,社团招新桥段适合用一场大型混乱同时展示学院生态、派系风格和主角个性。,公开比试、药剂试吃、魔宠失控之类的招新手段能把信息和笑点一起打出来。,学院社团招新大混战,学院体系已建立|多个社团竞争新生|主角刚入学,百花齐放|热闹混乱|主角反差反应,通过社团互抢|意外事故|主角随手一举成焦点把场面推高,让主角故意加入最冷门社团，反向避开热门争抢,
TR-010,write|plan,桥段,知识补充,战神归来|护女|护亲|归来打脸|都市战神,战神归来开局怎么写|护女打脸怎么排|都市爽文怎么起手,都市|现言,惨状、怒火和雷霆反击必须连成一线，出手要快，但先让亲情亏欠成立。,战神归来桥段的核心是先看到至亲受辱，再用极快反击兑现愧疚和压抑怒火。,读者要先感到主角回来晚了的亏欠，再看到他不再忍让的决绝，这样秒杀才有情绪重量。,战神归来护亲打脸,主角长期缺位|亲人被欺辱|反派狗仗势大,亲情补偿|怒火清算|雷霆镇压,通过踹门而入|身份揭露|援手降临把压抑直接翻盘,主角先救人后秋后算账，让怒火不只停在暴力输出而是扩展到后续清算,
