编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,命名对象,规则,正例,反例,毒点
NR-001,write|init|plan,角色,缺陷补偿,角色命名|人名|玄幻命名|仙侠命名,名字怎么取|主角叫什么|起名|玄幻人名怎么写,玄幻|仙侠,优先保留修仙感与古风意象，避免现代日常姓名和强烈谐音梗。,玄幻角色命名要保留修仙感与古风意象，避免现代日常姓名直接套入。,姓氏宜偏古风单姓或复姓，名字可带天、云、剑、灵等意象字，同时避免与核心角色重名或风格断层。,角色人名,玄幻角色命名应体现修仙意境与题材语汇，既要有辨识度，也不能脱离世界观氛围。,萧炎、叶凌天、慕容紫烟,张伟、李明、王小花,
NR-002,write|init,角色,缺陷补偿,角色命名|人名|都市命名|现代命名,都市角色起名|现代人名怎么写|名字怎么取,都市|现言,优先贴近现实姓名分布与职业气质，避免中二古风名直接落入现代场景。,都市角色命名应贴合现实语境和人物阶层，避免古风、中二、玄幻化命名。,常见姓氏搭配适度个性的名字更稳妥，若人物家庭背景或职业特殊，可用用词习惯和名字气质辅助区分。,角色人名,都市角色命名应贴合现实生活与人物身份，避免过于中二或古风的姓名直接破坏代入感。,陈默、林晚晴、顾南城,上官逸尘、慕容天帝、龙傲天,
NR-003,write|init|plan,书名,提醒,书名命名|标题|取名|书名规则,书名怎么取|小说叫什么|标题怎么起,全部,书名必须先服务卖点与辨识度，再追求辞藻华丽。,书名应短、准、能传达卖点，优先保证读者一眼能判断题材和核心吸引点。,建议控制在 2-6 字或短句卖点结构内，避免标题过长、信息过杂或无法体现核心冲突。,书名,书名应简短有力并体现卖点或世界观，不要因为追求花哨而牺牲辨识度。,《斗破苍穹》、《完美世界》、《赘婿》,《我在异世界当上了最强的那个人之后发生的故事》,
NR-004,write|plan|init,卷名,提醒,卷名|卷标题|分卷命名|卷级标题,卷名怎么起|分卷标题怎么写|每卷叫什么,全部,卷名先服务阶段任务和卷级冲突，再追求诗意，全书多卷要保持同一命名语系。,卷名应体现阶段任务、地图变化或核心冲突升级，让读者一眼看出本卷和上一卷的差别。,长篇分卷标题最好围绕成长阶段、主要地图、核心敌人或情绪弧线命名，不同卷不要各用一套毫无关联的审美系统。,卷名,卷名要体现阶段推进和卷级功能，统一风格比单卷炫技更重要。,入宗试锋|帝都暗潮|北境决战,第一卷|第二卷|那些事,
NR-005,write|plan,章节名,提醒,章节名|章名|章节标题|章标题,章节标题怎么起|章名怎么写|小标题怎么取,全部,章节名要么服务悬念要么服务关键事件，不要写成流水账式报幕。,好章名要么给事件节点，要么给悬念钩子，长度短且记忆点明确。,章节标题可以走人物动作、异常发现、关键问题或短促判断句路线，但不要把平平无奇的日常动作直接当标题。,章节名,章节名宜短促清晰并带钩子，优先强化本章最值得点击的点。,他回来了|门外不是人|第七码头,吃饭|聊天|继续前进的一天,
NR-006,write|init|plan,术语,知识补充,黑话命名|术语命名|组织黑话|地域黑话,黑话怎么取|组织内部术语怎么写|方言黑话怎么起,都市|奇幻|科幻|悬疑,黑话要体现群体价值观和生存环境，只点缀关键名词，禁止整段对白堆满生造词。,黑话和术语命名应反映群体文化、职业习惯或地域环境，读者一看就能感到这个圈子有自己的语言系统。,小偷公会、赛博街头、宗门帮派都适合有专属黑话，但使用频率要克制，优先用于钱、警察、同伴、敌人等高频词。,组织黑话,词形要易懂、易记且能映射群体文化，不要为了陌生感牺牲理解成本。,烟雾子|亮片|根兄弟,QX-77型人际协作目标体|完全无法联想含义的乱码词,
NR-007,write|init|plan,制度,知识补充,官职命名|爵位命名|封号体系|官制称谓,爵位怎么起|官职怎么命名|封号体系怎么写,历史|古言|奇幻,官职、爵位、封号必须和权责对应，命名统一同一文化语系，避免中西乱炖。,官职和爵位命名要体现权力层级、职责边界和文化来源，不能只追求好听而忽略制度感。,如果是中式体系，就优先走公侯伯子男、尚书、都督这类脉络；若是西幻体系，则用公爵、侯爵、骑士等成套称呼，不宜混搭。,官职爵位,同一套等级体系内的称谓必须成体系，权力、领地和义务要能从名字推断一部分。,镇北侯|礼部侍郎|白塔骑士长,公爵尚书王|魔导师县令|东西体系乱拼,
NR-008,write|init|plan,神话,知识补充,神话命名|预言命名|神祇称号|传说专名,神话名怎么起|神祇称号怎么写|预言关键词怎么命名,玄幻|奇幻|仙侠,神话与预言专名要有统一象征系统，围绕太阳、面具、月蚀、锁链等意象反复回响。,神话专名的记忆点来自稳定象征和文化语系，让读者一看就知道这是同一文明长出来的名词。,神祇、神器、预言章节名和古老地名最好共享一套意象来源，例如光、秤、裂月、七锁，而不是各起各的酷名。,神话专名,名称要可追溯到同一文化母题，并方便在后文反复回响与变奏。,金衡之神|碎面先知|七锁归夜,太阳神A|暗黑龙霸天|完全没有文化内核的拼贴酷名,
NR-009,write|plan|init,书名,提醒,卖点直译书名|直白书名|书名点击|卖点命名,书名怎么直接打卖点|网文书名怎么一眼看懂|书名怎么更容易点,全部,先抓最能卖的一个核心卖点做书名主轴，宁可清楚，也别自嗨到读者看不懂。,卖点直译型书名最适合平台分发环境，读者扫一眼就知道这本书能给什么。,系统、重生、退婚、全民、诡异、无敌这类高频卖点词，只要和差异点组合得稳，点击率通常比纯诗意题更友好。,书名,优先保证题材和核心爽点一眼可识别，再追求美感与新鲜度。,全民转职：我有唯一被动|退婚后我成了帝国战神,风过长街|无信息量且无法判断题材的纯意象名,
NR-010,write|plan|init,书名,提醒,悬念钩子书名|钓点书名|书名留问号|悬念命名,书名怎么吊人|悬念型书名怎么起|书名留钩子怎么做,悬疑|现言,悬念型书名要留下明确问题，而不是堆抽象词；钩子必须和正文主冲突强绑定。,悬念钩子型书名的重点不是故作高深，而是让读者立刻产生一个非点进去不可的问题。,谁死了、谁回来了、门后是什么、婚礼上为什么换新娘，这类问题能直接驱动点击，但必须真的会在正文里兑现。,书名,问题要具体且可联想到高冲突场景，不能只有空泛神秘感。,婚礼那天，死去的白月光回来了|规则说不要开门，可门外是我妈,秘密之后|看似神秘，实际什么都没钩住,
NR-011,write|plan|init,书名,知识补充,人物特征书名|主角身份命名|角色型书名|主角标签书名,书名怎么突出主角|主角身份适合做书名吗|角色标签怎么做书名,都市|衍生|现言|玄幻,如果主角本身就是最大卖点，就把身份、职业、特殊标签直接抬到标题里。,人物特征型书名的关键，是主角的身份本身就能承载题材想象和剧情期待。,法医、守夜人、废柴圣子、第七序列工程师、失忆杀手，这类身份词天然带剧情入口，适合放进标题。,书名,主角标签必须足够鲜明、差异化且能支撑整本书，不要把普通职业硬吹成卖点。,第七守夜人|失忆杀手今天也在装学生,一个普通人|身份毫无辨识度，也没有题材承诺,
NR-012,write|plan|init,书名,知识补充,世界观书名|设定型书名|宏大背景命名|世界观标题,书名怎么突出世界观|设定流书名怎么取|宏大背景适合进标题吗,科幻|玄幻|奇幻|悬疑,当世界观本身是最大差异点时，标题可以直接拿设定名、规则名或文明名做锚点。,世界观型书名适合设定感特别强的作品，它能先卖世界，再卖人物。,黑暗森林、群星坟场、终焉海、七重校规、雾都神典，这些强设定词会让读者先被世界吸进去。,书名,设定名要有画面感和辨识度，避免只有作者自己知道什么意思。,雾都收容档案|终焉海上的第九王座,X计划世界观|像文档名，不像作品名,
NR-013,write|plan,卷名,知识补充,时间轴卷名|阶段卷名|成长阶段命名|卷序列,卷名怎么按成长阶段排|多卷标题怎么统一|时间轴卷名怎么起,全部,多卷标题最好能体现成长阶段或时间节点，让读者一眼看出这是哪一段人生和战局。,阶段型卷名的价值，在于它能把长篇庞杂内容压缩成清晰的成长路标。,入学、试锋、远征、失城、归来、封王这类阶段词能自然构成长线递进，也便于整书结构感建立。,卷名,同一部书的卷名体系要保持同一语系和同一抽象层级，不要一卷写地点、一卷写诗句、一卷写口号。,初入北境|长夜远征|王城失火|破晓归来,卷一是地点、卷二是成语、卷三是网络梗，整体完全不统一,
NR-014,write|plan,章节名,知识补充,疑问式章名|问句章名|悬念章名|章节钩子,问句章节名怎么起|章名怎么更吊人|疑问式标题适合什么章节,悬疑|现言,把最关键的新疑问压成一句短问句做章名，适合卡在认知翻面或真相未落地的章节。,疑问式章名的作用是提前把读者注意力对准本章最大的未知点。,“门外是谁”“她为什么笑了”“谁把规则改了”这类标题都比陈述式更容易制造追读欲。,章节名,问句要具体，且本章正文里必须实质推进这个问题，而不是纯骗点。,他为什么会出现在葬礼上？|谁把第七条校规划掉了？,会发生什么呢？|空泛且无法形成明确期待,
NR-015,write|plan,章节名,知识补充,四字章名|对偶章名|成语型标题|短促章名,四字章名怎么起|对偶式标题怎么写|章节名怎么更整齐,历史|玄幻|古言,当作品整体气质偏凝练或古风时，章节名可以走四字或对偶路线，但必须和正文气质一致。,四字章名容易整齐、有格调，也更适合卷内形成统一的视觉节奏。,云起风生、旧梦重门、剑出北庭、山雨将至，这类四字标题既短促又有画面，但不适合过度口语化正文。,章节名,优先选择能概括事件气质的四字短语，不要为了凑字数硬拼生词。,旧灯如豆|风雪压城|月下归舟,超级无敌大战开始了|过长且气质断裂,
NR-016,write|plan|init,书名,知识补充,数字书名|符号书名|编号书名|系列记忆点,数字书名怎么起|带编号的标题适合什么文|书名怎么更有记忆点,科幻|衍生|悬疑,数字和编号只能用在真能承载世界观含义时，别为了显得潮硬塞进标题。,数字符号型书名的优势是强记忆点和系列感，但前提是数字本身有剧情意义。,第七码头、404号公寓、七重校规、9号收容室，这类数字名只要背后有规则或地点锚点，就能很快抓住注意力。,书名,数字必须和世界设定、规则层级或关键地点对应，避免沦为随意装饰。,404号公寓|第七条校规,10086之王|数字和剧情毫无关系，只剩尴尬感,
NR-017,write|plan|init,书名,知识补充,意象诗意书名|诗意书名|氛围感标题|意象命名,书名想起得更有气质|诗意型标题怎么做|文艺感书名怎么不空,奇幻|玄幻|古言|悬疑,诗意型书名必须仍能挂住题材气质或核心意象，别只剩漂亮空词。,意象诗意型书名适合气质型作品，但至少要让读者感到题材、情绪或母题方向。,月、雪、火、潮、夜、荒城、旧梦这类意象可以做标题锚点，但最好和世界观或情感母题形成反复呼应。,书名,意象要稳定、可回响、能和正文母题互证，不能只是随机拼两个好听词。,雪落长街|雾海尽头的灯,风花月梦|空泛堆词，既无题材也无记忆点,
NR-018,write|plan|init,书名,知识补充,反差型书名|对比书名|强反差标题|冲突感书名,书名怎么做反差|标题怎么更抓眼|对比型书名怎么起,都市|衍生|现言|悬疑,反差型标题要把两端都写清，让读者立刻感到冲突，不要只堆两个不相关词。,对比反差型书名最抓人的地方，是它把主角现状和异常点在标题里直接撞出来。,废物和天才、穷鬼和首富、前任和婚礼、规则和亲人，这类对撞结构很适合分发环境下抢注意力。,书名,反差必须服务主卖点和主冲突，读者看标题就应知道矛盾从哪来。,全校都以为我是废物|离婚后前夫跪着求我回头,黑与白|只有抽象对比，没有故事钩子,
NR-019,write|plan|init,书名,知识补充,情感共鸣书名|情绪型标题|遗憾感书名|共鸣命名,书名怎么更戳人|情绪型标题怎么写|想走共鸣路线怎么命名,现言|古言,情感共鸣型书名要把最能刺中目标读者的关系或遗憾压进去，别只写空泛伤感。,情感共鸣型书名不是单纯文艺，而是把读者最熟悉的遗憾、错过或执念直接点亮。,离婚、暗恋、重逢、失约、再见、原谅这类高情绪词，只要和具体关系绑定，就容易形成代入感。,书名,要让情绪落在具体关系和事件上，避免只有伤感气氛没有故事入口。,离婚后我终于不再等你|后来我们都没回头,忧伤的回忆|情绪泛泛，没有人物和冲突,
