编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,节奏类型,情绪调动手法,毒点
PA-001,write|plan,节奏,知识补充,压抑后爆发|忍耐爆发|先抑后扬|情绪宣泄,憋屈后怎么反杀|忍了很久后爆发怎么写|压抑爆发节奏,全部,先把压抑写具体且持续，再在不可退让点集中爆发，不要用一句“他终于怒了”替代积累。,压抑蓄力爆发的关键是限制持续累加，让读者和主角一起憋，再在一个不能再退的节点一次性兑现。,压抑段要有真实损失和无法立刻反击的理由，爆发段则必须改写关系、局面或规则，不能只是情绪大声量。,压抑蓄力爆发期,限制累加|沉默停顿|单点引爆,前面没有真实压抑|爆发只喊口号不改局面|爆发后立刻归零
PA-002,write|plan,节奏,知识补充,微反转|补刀|假结束|还有一手,微反转补刀|以为结束其实还有一手|补刀式反转怎么写,全部,先给读者一个“已经结束”的错觉，再用新信息或更高层级结果完成补刀。,微反转补刀适合放在爽点兑现后半拍，用假结束制造松弛，再用更狠的一手把情绪再抬一格。,这类节拍最怕提前透完牌，因此前段只兑现主目标，后段再揭开隐藏收益、额外代价或对方更惨的后果。,微反转补刀期,假结束停顿|追加信息揭示|情绪二次抬升,还没建立结束感就硬补刀|补刀信息与前文无关|连续多次反转导致读者疲劳
PA-003,plan|write,节奏,知识补充,中后期节奏|留存修复|爽点密度|钩子分布,中后期节奏塌了怎么办|后期注水怎么办|留存下降怎么救,全部,先统计最近二十到五十章的爽点、信息量、钩子和情绪曲线，再决定删减还是补强。,中后期节奏诊断不能只凭感觉，至少要同时看爽点密度、信息量、章末钩子和情绪曲线四个维度。,如果留存下降，优先判断是爽点重复、信息拖延、钩子失效还是情绪长期平直，再对症调整章节任务。,中后期留存修复期,四维诊断|密度重排|删注水补钩子,只会笼统要求加快节奏|不统计近章分布|把所有问题都归咎于字数
PA-004,write|plan,节奏,知识补充,情绪高压|激烈吵架|诀别节奏|余韵留白,吵架场景怎么控节奏|诀别戏怎么排|高压情绪场景节奏,全部,按铺垫、爆发、余韵三段排布情绪，不要把最狠的话和最大动作一口气全扔完。,高情绪场景需要有起压、爆点和余韵，读者才会感到情绪真的经过了积累、决裂和回响。,铺垫段负责点燃问题，爆发段击中不可调和点，余韵段通过沉默或动作让关系变化真正落地。,情绪高压三段式,递进争执|临界爆发|沉默余韵,一开场就顶格吵架|高潮过后无余波|人物情绪切得太快像开关
PA-005,plan|write,节奏,知识补充,反派体系|压力阶梯|对手层级|BOSS递进,反派体系怎么搭|压力阶梯怎么排|对手太弱怎么办,全部,每一层反派都要对应不同压力来源和损失类型，避免只是把同一种敌人换成更高数值。,反派体系要拆成试探、压制、改局、终局四类压力，让对手升级不仅更强，还能改变主角的代价和决策难度。,小反派负责引战和暴露短板，中层反派负责切资源与人脉，高层反派负责改规则或改地图，终极反派才承担价值观对决；若所有对手只会靠战力叠数值，读者很快会麻木。,反派压力阶梯推进,小反派试探|中层压制|高层改局|阶段释压,每层反派同质化|压力只涨战力不涨损失|主角成长和敌强完全脱节
PA-006,write|plan,节奏,知识补充,冲突升级|狗血升级|多方修罗场|冲突螺旋,冲突怎么层层升级|修罗场怎么加码|狗血冲突升级路径,现言|古言|幻言,先确认原始冲突和角色动机，再用催化事件、多方入局、峰值爆点三段加码，不能凭空硬拐。,狗血冲突升级要沿着原冲突、催化事件、多方入局、峰值爆点逐层推进，每次升级都让情感 stakes 更难回头。,最稳的做法不是一句更狠的台词，而是引入新证据、新参与方或公开场合，让私下矛盾变成关系、利益、体面一起失控；升级后还要留下余波，不然只剩吵闹。,狗血冲突螺旋升级,催化事件|多方入局|峰值爆点|余波扩散,只有吵架没有 stakes|升级没有催化剂|角色动机和行为突然断裂
PA-007,plan|write,节奏,知识补充,黄金三章|开篇钩子|情绪契约|前300字,黄金三章怎么排|开头怎么抓人|前300字怎么写,全部,前300字先立核心钩子和情绪承诺，再展示卖点与压迫，不要把背景说明写成开篇主体。,黄金三章不是固定模板，而是尽快和读者签下情绪契约，让人知道继续读能拿到什么。,第一章抓钩子和主角处境，第二章升压与展示差异点，第三章完成第一次小兑现并抛出更大悬念。,黄金三章情绪契约,前300字钩子|压迫立场|小兑现再加悬念,开篇先讲设定史|三章过去还没卖点|只抛谜语不给情绪承诺
PA-008,write|plan,节奏,知识补充,章末钩子|悬念结尾|断章|追读钩子,章末怎么卡点|下一章钩子怎么做|章节结尾怎么断,全部,在动作、发现或身份揭露的临界点收住，并抛出新问题而非把旧问题全解释完。,章末钩子要让读者带着新问题离开本章，而不是在总结句里把情绪放掉。,发现型、危险型、揭露型都能用，但必须建立在本章已推进的基础上，不能靠无意义断句硬卡。,章末钩子断点,戛然而止|新问题抛出|旧问题推进后再断,断在无关句子上|只故弄玄虚不推进|每章都同一种钩子导致疲劳
PA-009,plan|write,节奏,知识补充,群像节奏|多线叙事|汇聚点|视角切换,群像文怎么控节奏|多线怎么不散|视角切换怎么排,全部,先确定所有支线的汇聚事件，再倒推各线推进速度和切换时机，避免每条线各写各的。,群像多线最重要的是汇聚点和切视角节拍，没有大事件汇流就会越写越散。,每条线都要有独立悬念，同时不断朝同一场大战、灾变或公开事件聚拢，切换才会形成追读感。,群像多线汇聚期,视角轮换|多线悬念并行|汇聚事件爆发,支线互不相干|视角切换毫无规律|汇聚事件来得太晚
PA-010,plan|write,节奏,知识补充,战力崩坏|中期补救|维度升级|限制主角,主角太强怎么办|战力崩了怎么救|中期可看性怎么救,玄幻|仙侠|奇幻|都市,优先改胜利条件、环境限制或克制关系，不要粗暴回砍主角数值。,战力膨胀的补救重点是改规则和任务维度，让强者也必须重新思考如何赢。,可以引入护送、解谜、反克制、封印、时间限制等目标，让单纯秒杀不再解决问题。,战力膨胀修复期,改胜利条件|环境限制|反克制敌人|新维度压力,直接削弱主角设定|只换更高数值敌人|补救手段和前文力量体系冲突
