编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,人设类型,核心动机,行为逻辑,互动模式,毒点
CH-001,init|plan|write,人设,知识补充,镜像反派|宿敌|大反派|价值观对立,反派怎么塑造|宿敌人设怎么写|镜像反派,全部,反派必须同时具备实力、智谋或影响力威胁，并和主角形成价值观镜像，避免只当工具人。,强反派要既能压主角，又能照出主角的另一种可能，让对决不只是打输打赢。,镜像反派通常拥有和主角相似的天赋或创伤，但在目标、手段或价值排序上走向相反道路。,镜像型大反派,证明自己的道路正确并夺取主导权,用更极端或更高效的方式实现与主角相似的目标,每次交锋都逼主角在力量与原则之间二选一,只有坏没有逻辑|每次登场都靠部下垫脚|临近结局突然降智
CH-002,init|plan|write,人设,知识补充,双面间谍|夹缝求生|多方博弈|立场摇摆,两边下注角色怎么写|权谋中间人怎么写|双面人设,历史|古言|悬疑|奇幻,先锁定角色的根本利益和底线，再设计其在多方势力间的伪装与取舍，避免单纯反复横跳。,夹缝求生型角色的魅力在于每一次站队都有成本，他的犹豫和下注都必须围绕核心利益展开。,这类角色往往同时掌握两边信息，但任何一次暴露都会失去退路，因此行动应以保命、保位或保重要之人为第一原则。,双面间谍型关键角色,在强势派系夹缝中保住自身与核心牵挂,先评估暴露风险再下注，宁可短期吃亏也不轻易亮底牌,对主角既提供帮助又制造不确定性，关系处在合作与试探之间,没有底线和核心利益|所有阵营都无条件信任他|暴露后还能轻易糊弄过去
CH-003,init|plan|write,人设,知识补充,韧性女主|落难千金|带球跑女主|逆风成长,女主怎么写得有韧性|落难千金怎么塑造|带球跑女主怎么立住,现言|古言|幻言,把她的韧性写在选择和行动里，不要只靠嘴硬或被动受虐撑人设。,韧性反击型女主的核心是即使身处弱势也保持判断力和行动力，而不是单纯挨打等拯救。,她可以处在资源劣势或情感劣势，但每一步都应有主动决策和代价承担，关系推进也不能完全靠男主单方面拉动。,韧性反击型女主,守住尊严并重新夺回对人生和关系的主导权,遇压不立刻崩溃而是先稳住局面，再寻找翻盘抓手,与男主常形成拉扯式推进：既有情感牵引，也有边界和试探,嘴上独立实际全靠男主收尾|无原则心软|被虐之后立场和目标完全不变
CH-004,init|plan|write,人设,知识补充,团宠|萌宝|守护者联盟|家族宠爱,团宠配角怎么设计|守护者联盟怎么写|团宠互动模式,现言|古言|幻言|衍生,每个守护者都要占据不同资源位和宠爱方式，别把一群配角写成重复的人肉挂件。,团宠文的守护者体系要形成分工明确的宠爱联盟，钱、权、信息、声量各有负责人，遇外敌时再联动兑现安全感。,最好让每个守护者都带一项独特功能和一层反差，例如表面严厉实则最护短，或高调张扬却专门替主角挡舆论，让团宠感来自差异化投入而不是重复夸可爱。,团宠守护者联盟,围绕核心主角建立稳定保护圈并巩固归属感,先按资源位分工，再根据各自性格选择高调护短或暗中收尾,严厉长辈私下偏宠|高调角色公开炫宠|理性角色负责补刀收尾,全员只会口头宠|守护者功能完全重复|一遇冲突就集体降智
CH-005,init|plan|write,人设,知识补充,聊天群流|群像互动|跨界成员|群主忽悠,聊天群成员怎么设计|群像文群成员怎么配|群主忽悠群员,衍生|玄幻|科幻|奇幻,群成员必须带着各自世界的认知偏差和现实需求入场，群主维持威慑要靠信息差而不是无脑装神。,聊天群群像最有趣的地方在于跨世界成员各取所需、彼此误判，再通过交易和求助形成稳定互动。,成员设定时要同时写清出处世界、发言气质和入群诉求，让每个人说话都像从不同作品里走出来；群主若需要维持高深形象，核心应是掌握额外信息和节奏，而不是所有人无条件跪服。,聊天群跨界成员关系,为获取情报|资源|生机而加入跨界交流网络,发言风格受原世界观影响，交易和求助都围绕各自短板展开,群主维持高深形象|成员跨界交易|认知差制造笑点与误判,全员说话一个味|成员只当弹幕工具|群主只靠设定碾压没有信息差
CH-006,init|plan|write,人设,知识补充,政治联姻|利益夫妻|先婚后爱|婚盟博弈,政治联姻怎么写|利益婚姻怎么塑造|先婚后爱怎么铺,古言|历史|奇幻,先写清双方能交换什么筹码和各自隐藏议程，再推进情感，不要先甜后补利益。,政治联姻的张力来自婚姻合同、阵营利益和暗中算计，而不是单纯傲娇拌嘴。,两人越聪明，越要先通过条款、交换和试探建立关系，再在共同危机中慢慢长出信任。,政治联姻型利益伴侣,通过婚盟换取资源、安全或政治空间,先算筹码和底线，再决定合作深度；情感增长通常滞后于利益绑定,表面体面谈判|暗中互试底牌|共同对外时逐步形成默契,一上来就只剩恋爱脑|双方没有真实筹码|联姻只当背景板
CH-007,init|plan|write,人设,知识补充,洗白反派|悲剧反派|不得已反派|不求原谅,反派怎么写得能理解|洗白反派怎么立住|悲剧反派怎么塑造,玄幻|仙侠|奇幻|悬疑,恶行必须有不可回避的代价和更大压力背景，揭露真相时不要抹掉他真正造成的伤害。,可理解反派的成立点不是无罪，而是让读者看见他为何走到这一步以及他付过什么代价。,最有力的处理是让他背负恶名完成不得不做的事，并且不向主角索要轻飘飘的原谅。,悲剧型可理解反派,为更大目标、封印或守护牺牲自身名誉与人性,明知会被误解仍执行选择，并主动承担后果,与主角先敌对后相互理解|真相揭露后关系复杂化,用童年悲惨一笔洗净所有恶行|真相揭露后所有后果自动消失|反派突然变圣人
CH-008,init|plan|write,人设,知识补充,反差萌|外冷内软|隐藏爱好|角色魅力,反差萌怎么写|高冷角色怎么更有记忆点|隐藏属性怎么埋,全部,外在人设要足够强烈，隐藏属性要足够人性化，而且秘密暴露过程本身要能制造戏。,反差萌的魅力来自强烈外壳和柔软内里的对撞，让角色既有气场又有可亲近的记忆点。,最稳的写法是给冷面杀手、铁血将军或魔王型角色安排一个羞于示人的小爱好，并让曝光场面推动关系。,反差萌隐藏属性角色,维持强势形象同时保住不愿示人的柔软一面,平时极力掩饰弱点或爱好，暴露时会嘴硬否认或试图转移话题,被熟人撞破秘密|先恼羞成怒再慢慢松动|借反差拉近关系,反差点完全随机和主线无关|一上来就公开卖萌|只有设定没有触发场景
CH-009,init|plan|write,人设,知识补充,冒险小队|战法牧|团队互补|缺陷美,冒险小队怎么配|团队角色怎么不重复|战法牧怎么写出戏,奇幻|游戏|衍生,角色分工和性格缺陷都要互补，让团队既能打配合也能在日常摩擦里出戏。,经典冒险小队最耐写的点在于职业互补和性格短板共存，像不靠谱家庭但关键时刻能咬死一起。,坦克、输出、治疗、交涉位只是战斗功能，真正让团队活起来的是怪癖、弱点和相互看不顺眼又离不开的关系。,缺陷互补型冒险小队,在利益、使命或求生压力下维持高摩擦但高忠诚的团队合作,战斗时高度互补，日常则因怪癖、价值观和资源分配频繁碰撞,互损互救|功能互补|关键时刻无条件补位,所有成员只是职业标签|缺陷只写设定不落地|团队里谁都能被随便替换
CH-010,init|plan|write,人设,知识补充,失忆主角|身份冲突|敌营醒来|旧我新我,失忆主角怎么塑造|身份冲突角色怎么写|醒在敌营的人设,悬疑|都市|科幻|奇幻,用本能、梦魇和旧物慢慢逼近过去身份，让新建立的关系和旧任务持续冲撞。,失忆角色最有张力时，不是单纯找回记忆，而是在成为新的人后被旧身份追上门。,肌肉记忆、条件反射和碎片梦境都是好抓手，关键是旧身份越危险，新羁绊越珍贵，冲突就越强。,失忆身份冲突型主角,弄清自己是谁，同时守住失忆后新建立的关系和道德选择,一边依赖异常本能求生，一边害怕过去的自己其实是更大的威胁,新朋友信任他|旧敌人认出他|他自己在两种身份间被撕扯,失忆只当悬念壳子|找回记忆后没有价值观冲击|旧身份只是噱头不影响现实关系
