编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,设定类型,数值控制边界,与剧情交互方式,毒点
SY-001,init|plan|write,设定,知识补充,力量体系|等级设计|战力边界|跨级挑战,等级体系怎么设计|战力别崩|跨级怎么赢,玄幻|仙侠|奇幻|都市,每个大层级都要有可感知的质变、战力基准和突破门槛，并明确低级反杀的例外条件。,好的力量体系必须让每次升级都有可见质变，同时限制跨级胜利只能来自情报、克制或高代价。,如果主角可以经常无代价越级碾压，高等级就会失去威胁；如果每级没有新特征，成长感也会迅速塌掉。,阶梯式力量体系,每层级都应写清质变特征|战力基准|突破条件；低级胜高级必须依赖克制|情报|环境|代价，不能成为常态,用于安排成长反馈、战力压迫、资源争夺和世界阶层差异,
SY-002,init|plan|write,设定,知识补充,异能副作用|能力代价|使用限制|等价交换,异能副作用怎么设|能力太强怎么平衡|超能力代价,都市|科幻|奇幻|悬疑,越强的能力越要有明确且可持续触发的代价，减轻副作用的方法本身也应成为剧情线。,异能或魔法副作用能防止战力崩坏，也能给角色制造持续性的选择压力和剧情张力。,代价可以是寿命、理智、疼痛、热量、器官损耗或社会风险，但必须与能力强度成正比，并且会真实影响后续决策。,高代价异能,限制要明确到持续时间|触发条件|恢复成本；若能缓解副作用，缓解手段也必须稀缺且需要付出代价,可用于制造危机抉择、资源追逐、主线支线目标和角色牺牲感,
SY-003,init|plan|write,设定,知识补充,系统流|金手指|成长系统|升级边界,系统怎么设计|金手指边界|外挂怎么不崩|系统升级边界,玄幻|都市|科幻|悬疑,把系统拆成核心功能、解锁条件和限制规则三层，避免它替主角解决一切问题。,成长型系统金手指要能制造爽点，但更重要的是它的升级、冷却、任务和失败代价必须可追踪。,系统的每次升级都应对应剧情阶段变化；如果它在任何场景都能无条件给答案，剧情主动性会迅速消失。,成长型系统金手指,核心功能数不宜过多；每次解锁都要绑定条件|冷却|任务或失败成本；强功能不能在前期全部开放,可作为成长驱动器、章节钩子和资源调度器，但必须服务主线而不是代替主线,
SY-004,init|plan|write,设定,知识补充,派系格局|朝堂党争|势力博弈|多方平衡,势力怎么设计|党争怎么搭|多方博弈格局,历史|古言|奇幻,每个派系都要先写核心利益、弱点和暗牌，避免阵营只靠口号站队。,多方派系格局的稳定性来自利益冲突和平衡态势，而不是单纯正邪二分。,三方以上博弈最容易给主角创造操作空间，但前提是每个派系都有不能退让的核心利益和可被利用的短板。,多方派系格局,至少明确核心利益|主要领袖|显性弱点|隐藏暗牌；任何结盟和背叛都必须能回溯到利益变化,用于搭建长期冲突网络、权谋反转和主角夹缝操作空间,
SY-005,init|plan|write,设定,知识补充,诸天流|多元穿越|主世界副本|时间流速,诸天流怎么设定|穿越机制怎么写|主世界和副本时间怎么配,玄幻|科幻|奇幻|衍生,先写清穿越媒介、冷却、携带限制和回归条件，再定义力量兼容规则，禁止主角无代价把各世界能力全部叠满。,诸天流设定要先锁定穿越媒介、时间流速、携带限制和回归条件，副本收益必须和主世界代价同时存在。,主世界一天副本一年这类规则会直接影响年龄、资源和时间线，若没有冷却和任务门槛，穿越就会沦为无限刷本外挂；不同世界力量体系还要定义转化损耗或适配条件。,诸天流穿越机制,必须明确穿越媒介|冷却时间|携带限制|回归条件；跨世界力量转化要有损耗或门槛,用于切换副本目标、制造时间差收益与回归压力，并把兼容规则变成解谜或资源规划,
SY-006,init|plan|write,设定,知识补充,系统商城|价格锚点|商城经济|盲盒消费,系统商城怎么定价|商城物价怎么设计|复活币卖多贵,玄幻|都市|科幻|衍生,先定货币产出速度和三档价格，再放一个昂贵终极道具做长期牵引，避免商城随剧情随意涨价。,系统商城要用日常消耗、中阶强化和天价终极道具构成价格锚点，既给即时爽点也保留长期攒钱动力。,终极道具如复活币或逆天改命券主要负责拉高目标感，真正推动剧情的是限时折扣、随机盲盒和稀缺资源缺口；如果价格体系不和货币产出闭环，商城很快就会失真。,系统商城价格锚点,至少建立日常消耗|中阶功能|终极目标三档价格；价格增长要和货币产出同步,用终极道具吊长期目标，再用折扣|限购|盲盒制造短期消费抉择和资源焦虑,
SY-007,init|plan|write,设定,知识补充,学院流|课程表|排名战|学生派系,学院流怎么搭|课程和考核怎么设计|分院排名怎么写,玄幻|奇幻|衍生|都市,课程、考核、派系必须互相咬合，课堂知识要在实战和排名里回收，别把学院只写成换皮擂台。,学院流设定不能只有一个校名和几个天才角色，课程内容、考核机制和派系竞争要形成完整循环。,最稳的做法是让基础课负责埋伏笔，月考或野外试炼负责兑现能力差异，社团、学生会或分院则负责承接长期资源争夺，这样学院才会像真实运行的环境而不是空壳背景。,学院流课程考核派系联动,至少明确基础课程|定期考核|派系组织三套结构；课堂知识必须在后续章节回收,用于推动排名竞争、资源分配、同学关系和阶段性试炼,
SY-008,init|plan|write,设定,知识补充,时间循环|开端流|重置点|出循环,时间循环怎么设|循环文规则怎么写|重置点怎么定,悬疑|科幻|衍生|奇幻,把触发、重置点、记忆保留、退出条件和循环代价一次写清，禁止靠临时补丁救设定。,时间循环设定必须先写清触发条件、重置点、记忆规则和退出条件，代价越明确越能撑长篇悬念。,每次循环最好留下不同变量和逐步加重的疲惫或理智损耗，让读者看到试错成本而不是无限读档。,时间循环规则,必须明确触发条件|重置时间|谁保留记忆|退出条件|循环代价,用于制造试错破局、信息累积和人物崩溃边缘的紧迫感,
SY-009,init|plan|write,设定,知识补充,宗门经营|公会经营|资源管理|掌门流,宗门怎么经营|公会怎么扩张|资源怎么分配,玄幻|仙侠|奇幻|游戏,同时追踪人手、财富、名望和外部危机，让组织成长建立在取舍上，而不是无脑扩张。,经营型组织设定要让人手、财富、名望互相牵制，危机出现时必须做真实取舍。,矿脉枯竭、弟子流失、对手挖人等危机会迫使主角重新分配资源，经营线才会有剧情张力。,组织资源循环,至少追踪人手|财富|名望三项资源；任何扩张都要有消耗和外部压力,用于推动经营抉择、势力竞争、成员培养和阶段性扩张,
SY-010,init|plan|write,设定,知识补充,无限流|主神任务|主线支线|任务陷阱,主神任务怎么写|无限流任务怎么设计|任务机制怎么坑人,悬疑|科幻|衍生|奇幻,主线、支线、惩罚和文字歧义都要先写清，任务可以坑主角但不能坑读者。,好的主神任务要同时给出生存目标、贪婪诱饵和失败代价，让选择本身成为剧情。,任务文本最好留有限度的歧义，促使主角推理规则，而不是靠作者随意改口改变难度。,主神任务机制,必须明确主线目标|可选支线|失败惩罚|隐藏陷阱边界,用于驱动副本推进、队伍分工和高风险收益抉择,
