编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,场景类型,模式名称,说明,示例片段,毒点
SP-001,write|plan,战斗,知识补充,战斗描写|打斗|动作|战斗场景,战斗怎么写|打架怎么写|打斗场面怎么写,全部,按试探→对抗→转折→高潮推进战斗，不要直接把胜负和招式堆在同一层。,战斗场景应有清晰递进：先试探，再升级冲突，最后用关键转折拉出高潮。,优先让动作、感官、局势变化交替推进；越到后段越要让代价和判断同步加压，而不是只有招式名堆叠。,战斗场景,节奏递进式战斗,战斗描写应遵循试探→对抗→转折→高潮的节奏递进，每个阶段篇幅递增，感官描写和局势变化同步推进。,他侧身一闪，拳风擦着耳畔呼啸而过。脚下猛然发力，整个人如离弦之箭冲了出去——,两人打了起来。你一拳我一脚，打了很久。最后主角赢了。
SP-002,write,对话,知识补充,对话声线|对话描写|人物对话|声线区分,口吻区分|不同角色怎么说话|角色说话怎么区分,全部,先判断角色身份、关系和情绪，再分配词汇习惯、句长和潜台词，避免全员同一书面腔。,多角色对话要靠词汇、句长、潜台词和情绪反应拉开声线差异，不能只靠说话人标签。,同一段对话里至少让核心角色在句式长短、礼貌程度、攻击方式或口头习惯上出现稳定区分。,对话场景,声线差异化,不同角色的对话应有明显的语言风格差异：用词习惯、句式长短、口头禅等都应体现性格。,“老夫修行三百载，何曾怕过谁！”（长老）“切，又吹。”（少年）,所有角色都用相同的书面语说话，无法通过对话区分说话人
SP-003,plan,叙事,知识补充,卷级叙事|叙事功能|卷结构|情节节奏,卷怎么规划|卷级结构怎么拆|叙事节奏怎么安排,全部,每卷必须先锁定叙事功能，再安排升级、冲突和兑现，避免连续多卷只做重复升级。,卷级叙事要区分引入、发展、高潮、过渡等功能，防止多卷内容重复和节奏疲劳。,先回答本卷解决什么、升级什么、留下什么未闭合问题，再决定章数和高潮位置。,叙事结构,卷级叙事功能分配,每卷应有明确的叙事功能：引入卷建立世界观与目标，发展卷推进冲突与升级，高潮卷兑现主承诺，过渡卷负责转场与新地图铺垫。,第一卷：废柴觉醒→拜师→初战告捷（引入期：建立世界观与主角目标）,连续三卷都是打怪升级没有变化，读者审美疲劳
SP-004,write|plan,桥段,知识补充,桥段套路|扮猪吃虎|打脸反击|装弱爆发,扮猪吃虎怎么写|打脸怎么写|反击桥段怎么铺垫,全部,先铺信息差和压制感，再在关键节点集中反击，不能让爆发毫无代价或完全靠对手降智。,扮猪吃虎式反击要先让主角处于被低估位置，再通过信息差或隐藏底牌完成集中反转。,铺垫阶段要明确谁误判了主角、主角为什么暂时不出手，以及爆发后会改写什么局面。,桥段场景,扮猪吃虎式打脸反击,适合通过隐藏实力、错位认知和压抑蓄力制造反转爽感，关键在于前置压制和后段兑现对称。,众人都以为他只是个跑腿小修士，直到考核擂台开启，他一剑断阵，主考长老当场失声。,刚被嘲讽完立刻无代价开挂秒杀，全程没有铺垫和反转支点
SP-005,write|plan,场景,知识补充,日常场景|群像互动|生活流|轻松场景,日常场景怎么写|群像日常怎么不水|生活流场景怎么写,全部,先给角色安排具体活动，再把对话、伏笔和关系变化嵌进动作流程，避免一群人站桩聊天。,日常群像场景要靠做饭、收拾、分赃等活动承载对话，让轻松戏也能推进关系和伏笔。,关键是给每个人不同的参与方式和小动作，让说话、沉默、失误、观察都变成信息，而不是单纯填充字数。,日常场景,活动嵌入式群像日常,通过具体活动承托闲聊和人物关系变化，让轻松场景也具备明确功能。,锅里油花一响，向来嘴硬的二师兄先把最好的一块肉夹进她碗里，嘴上却只说别拖后腿。,一群人围坐闲聊整章，既没有具体活动也没有信息推进。
SP-006,write|plan,对决,知识补充,庭审|辩论|证据链|法庭对决,庭审怎么写|辩论场景怎么写|证据反转怎么排,都市|悬疑|历史,围绕证据链和规则攻防推进庭审，不要把法庭戏写成纯靠嗓门和立场输出。,庭审和辩论场景的爽点来自证据建立、漏洞拆解和最后反转，而不是谁喊得更响。,先让一方占据规则优势，再通过时间线矛盾、关键物证或程序漏洞完成翻盘，张力会更扎实。,对决场景,证据链攻防式庭审,适合法庭、朝堂争辩、公开论证等依赖规则和证据的场面。,他没有急着反驳，只把监控时间戳投到大屏上，原本笃定的证人第一次停住了呼吸。,双方来回指责却没有证据推进，最后突然靠作者宣布真相。
SP-007,write|plan,情感,知识补充,重逢|破镜重圆|久别重逢|前任相见,久别重逢怎么写|破镜重圆重逢怎么排|前任见面场景怎么写,现言|古言|幻言,表面克制、细节失控、身份反差要同时落地，别让人物一见面就把情绪喊完。,久别重逢场景的张力来自表面体面和身体细节失控的反差，以及过去与现在的对照。,可以借公开场合、职业身份或第三人在场维持克制，让一句平常问候压住整段暗流和旧伤。,情感场景,克制式久别重逢,适合破镜重圆、旧情重启、旧友反目后再见等高压情绪场景。,她说好久不见时语气平稳，只有捏皱的登机牌暴露了那只手一直在抖。,重逢一开始就把旧账和真相一次说尽，场面只剩信息倾倒。
SP-008,write|plan,战斗,知识补充,动作戏节奏|五拍战斗|动作场景|战斗拍点,动作戏怎么排节拍|一场打斗怎么分段|动作场面怎么起承转合,玄幻|仙侠|奇幻|都市,按接战、失衡、逆转、高潮、余波五拍推进动作戏，别把整场战斗写成同一速度的平推。,动作戏最稳的推进方式是五拍结构，让局势、速度和危险感持续变化。,先接战建立空间关系，再制造短暂失衡和反压，随后用环境或判断完成逆转，最后以余波收束结果。,战斗场景,五拍式动作推进,适合单挑、追击和中短篇幅的高强度动作场面。,刀锋第一次撞上时还只是试探，等他脚下一滑被逼到屋檐边，整场战斗才真正开始转向。,从第一句打到最后一句都只有互砍，没有局势变化和节拍切换。
SP-009,write|plan,战斗,知识补充,弱点洞察|一击必杀|精准反杀|战斗分析,弱点怎么写|一击必杀怎么排|破绽分析怎么写,玄幻|仙侠|科幻|奇幻,分析过程可以拉 tension，但出手必须快准狠，别把弱点洞察写成冗长解说词。,弱点洞察式战斗要把观察、判断和出手压成一条线，分析越清晰，击杀越要干净。,适合拥有瞳术、系统标记或高战斗智商的主角，通过抓住敌人一个短暂破绽完成反杀。,战斗场景,弱点洞察式终结,用最短动作兑现最长判断，让战斗智慧直接变成爽点。,他等的不是怪物张口，而是它巨掌落地后脚跟那半息失重，那一下才是唯一的死门。,花很长篇幅解释弱点，真正出手却拖泥带水，最后还要靠数值硬碾。
SP-010,write|plan,谍战,知识补充,接头暗号|谍战接头|茶馆接头|卧底碰头,接头场景怎么写|暗号怎么设计|卧底碰头怎么有张力,悬疑|都市|历史,暗号必须听起来像普通寒暄，并准备紧急中止信号，让场面危险感来自日常化伪装。 ,谍战接头场景的张力来自普通对话背后的多重含义，以及任何一个口误都可能暴露身份。,茶馆、书店、公园长椅都适合接头，关键是把暗号藏进环境和动作里，再让跟踪者或巡逻者逼近制造压强。,谍战场景,日常伪装式接头,通过普通寒暄、物件摆放或点单习惯完成情报交换，同时保留随时中断的退路。,“今天天气倒干。”他说着把茶盏轻轻转了半圈。对面的人笑了笑：“鱼还是不上钩。”,接头人一见面就把情报直白说出口，像怕旁人听不见。
