编号,适用技能,分类,层级,关键词,意图与同义词,适用题材,大模型指令,核心摘要,详细展开,题材/流派,canonical_genre,题材别名,核心调性,节奏策略,毒点,推荐基础检索表,推荐动态检索表,默认查询词
GR-001,story-system,题材路由,知识补充,玄幻退婚流|退婚流|废材逆袭,退婚打脸怎么写|莫欺少年穷|三年之约怎么立,玄幻|仙侠,先压后爆，耻辱必须转成长线兑现。,退婚或逐出型起手必须先把尊严踩到底，再把反击延迟兑现为长线承诺。,退婚流不靠瞬间翻盘，而靠压抑、立誓、补刀和后续兑现形成持续追读欲。玄幻退婚流要先给耻辱和压抑，再给立誓与首轮反打，禁止一章内把压抑和兑现写成流水账。,玄幻退婚流,玄幻,退婚流|废材逆袭,先压后爆,三章内必须有首次有效反打,打脸不能软收尾|主角还没兑现就被配角代打,命名规则|人设与关系|金手指与设定,桥段套路|爽点与节奏|场景写法,退婚|打脸|废材逆袭
GR-002,story-system,题材路由,知识补充,规则动物园|规则怪谈动物园|规则怪谈,规则怪谈怎么写|动物园规则怎么写|违反规则会怎样,悬疑,规则先立死，再逐层揭示代价和漏洞。,规则类故事必须先建立清晰规则，再让角色在遵守、试探、破坏之间持续换取信息。,读者爽点来自规则被一步步解密与反利用，而不是角色无缘无故乱闯。规则动物园要先把规则、异样征兆和试探成本写清，再给局部违反后的后果与解法。,规则动物园,悬疑,规则怪谈动物园|规则怪谈,高压克制,先立规则后破局,规则写得像背景板|处罚没有代价|谜底提前透光,命名规则|场景写法|人设与关系,桥段套路|爽点与节奏|写作技法,规则|动物园|守则
GR-003,story-system,题材路由,知识补充,压抑后爆|先抑后扬|忍耐爆发,先压后爆怎么写|情绪爆发怎么写|压抑蓄力怎么排,全部,压抑必须具体，爆发必须改局。,情绪爆发型章节要让限制、损失和退让持续累加，再在不可回避点集中兑现。,前段负责让读者和角色一起憋，后段负责一次性改写关系、局面或规则。压抑后爆题材要把前段损失写实，后段兑现写硬，不能只靠口号和情绪词。,压抑后爆,全部,先抑后扬|忍耐爆发,压抑蓄力后强兑现,限制累加到临界点再爆发,前面没有真实压抑|爆发不改局面|爆发后立刻归零,写作技法|爽点与节奏|场景写法,桥段套路|爽点与节奏|场景写法,压抑|爆发|反打
GR-004,story-system,题材路由,知识补充,都市赘婿流|赘婿逆袭|上门女婿|都市 赘婿|赘婿 系统,赘婿怎么写|上门女婿翻身|赘婿打脸|都市赘婿系统怎么写,都市,先压后爆，耻辱累积后集中兑现。,赘婿流必须先把主角的尊严和地位踩到底，通过妻子家族的羞辱、冷眼和轻视持续累积压抑，再通过身份反转或实力展现完成打脸。,赘婿流的核心在于身份落差带来的压抑感和后续的爽点兑现。开篇要快速建立主角的低位处境，通过岳父岳母、妻子亲戚的多重羞辱制造压抑，再通过隐藏身份曝光、商业手段反击等方式完成反打。禁止主角一开始就强势，必须先忍辱负重。,都市赘婿流,都市,赘婿逆袭|上门女婿|废婿翻身|都市赘婿,先压后爆,三章内必须有明确身份落差,主角开局就强势|反打来得太快|没有真实羞辱感,命名规则|人设与关系|场景写法,桥段套路|爽点与节奏|写作技法,赘婿|上门女婿|打脸|身份反转|都市赘婿
GR-005,story-system,题材路由,知识补充,追妻火葬场|虐文|先虐后甜|现言 豪门|豪门 追妻|追妻,追妻火葬场怎么写|男主后悔怎么写|虐文节奏|豪门追妻怎么写,现言|都市|古言,前期虐心，后期追悔，情感逆转要有代价。,追妻火葬场要先把男主的伤害写实写透，让女主的痛苦和决绝有足够铺垫，再让男主的追悔和补偿形成长线拉扯。,追妻火葬场的核心是情感逆转的可信度。前期男主对女主的冷漠、误解或伤害必须写得具体且有痛感，女主的离开要有充分动机。后期男主的追悔不能靠嘴炮，要通过实际行动和代价来体现。禁止男主轻易被原谅，女主的心软必须有合理过程。,追妻火葬场,全部,虐文|先虐后甜|男主追妻|火葬场文|豪门追妻,前期高虐后期追悔,前期虐点要实后期追悔要有代价,男主伤害不够痛|女主原谅太快|追悔没有实际代价,人设与关系|场景写法|写作技法,桥段套路|爽点与节奏|场景写法,追妻|火葬场|虐文|后悔|豪门追妻
GR-006,story-system,题材路由,知识补充,番茄爽文|男频快节奏|番茄风,番茄爽文怎么写|快节奏打脸|番茄风格,玄幻|都市,快节奏高密度，三章一爽点。,番茄爽文要求节奏极快，信息密度高，每200-300字必须有一个小爽点，每3-5章必须有一个大爽点，开局即冲突。,番茄爽文的核心是密集的爽点和快节奏。开篇必须在前3句话内引入冲突，前3章内完成首次打脸或反转。主角金手指要强但不能无脑碾压，要通过智谋、反套路或信息差制造爽感。禁止拖沓铺垫，禁止大段心理描写，对话要有潜台词和网络梗。,番茄爽文,全部,男频快节奏|番茄风|高密度爽文,快节奏高密度,每3章一个大爽点每章至少一个小爽点,节奏拖沓|爽点稀疏|铺垫过长|对话平淡,命名规则|人设与关系|金手指与设定,桥段套路|爽点与节奏|场景写法,番茄|爽文|快节奏|打脸
GR-007,story-system,题材路由,知识补充,知乎短篇风|第一人称短篇|知乎体|现言 短篇|知乎 反转,知乎短篇怎么写|第一人称怎么写|知乎风格|知乎付费短篇怎么写,都市|现言,第一人称强代入，炸裂开头，精准卡点。,知乎短篇要求第一人称视角，50字内炸裂开头，快节奏推进，强冲突设计，关键位置精准卡点引导付费。,知乎短篇的核心是第一人称的强代入感和快节奏。开头必须在50字内用冲突或悬念抓住读者，一句话一段落，减少对话增加内心独白。情节要有多次反转，卡点位置要设置在情绪高峰或悬念最强处。禁止第三人称，禁止慢热铺垫，禁止大段环境描写。,知乎短篇风,全部,第一人称短篇|知乎体|知乎盐选|知乎短篇,第一人称强代入快节奏,50字内炸裂开头关键位置精准卡点,第三人称|慢热开头|卡点位置不准|缺少反转,写作技法|场景写法|人设与关系,桥段套路|爽点与节奏|写作技法,知乎|短篇|第一人称|卡点|知乎短篇
GR-008,story-system,题材路由,知识补充,小程序短篇风|付费短篇|小程序体|小程序 付费|短篇 付费,小程序短篇怎么写|付费卡点怎么设计|短篇节奏|小程序付费短篇怎么写,都市|现言|悬疑,强情绪冲突，密集虐点，精准付费卡点。,小程序短篇要求在前500字内设置3个轻度不安事件，3000字左右设置1个重度冲击事件，利用心理困扰引导付费。,小程序短篇的核心是情绪操控和付费引导。前期要通过密集的小冲突累积读者的不安和愤怒情绪，在情绪峰值处设置付费墙。主角要遭遇不道德但不违法的对待，引发读者共鸣。结尾要留悬念或未解决的冲突。禁止前期平淡，禁止付费后立刻解决问题，要保持后续吸引力。,小程序短篇风,全部,付费短篇|小程序体|情绪短篇|小程序短篇,强情绪冲突密集虐点,前500字3个小冲突3000字1个大冲突,前期平淡|付费点不准|付费后立刻解决|缺少情绪累积,写作技法|场景写法|爽点与节奏,桥段套路|爽点与节奏|写作技法,小程序|短篇|付费|卡点|情绪冲突|小程序短篇
GR-009,story-system,题材路由,知识补充,穿越流|穿书|异世穿越|历史 官场|官场 权谋|历史 权谋,穿越怎么写|穿书开局怎么写|现代知识碾压|历史官场权谋怎么写,历史|古言|玄幻,先确立时代差和生存压力，再让信息差变成可兑现优势。,穿越流要先解决身份落点和时代约束，再让主角用知识差推动局面。,穿越不是万能外挂。开局必须交代身份替换、语言习惯、社会规则和生存风险，现代知识只能在合适技术条件下兑现。禁止主角空口改变制度，禁止所有古人降智配合。,穿越流,历史,穿越|穿书|异世重开|历史权谋|官场,身份落差后信息差兑现,先适应规则再局部破局,现代知识无条件万能|古人集体降智|身份漏洞无人追问,命名规则|人设与关系|场景写法,桥段套路|爽点与节奏|写作技法,穿越|穿书|信息差|官场权谋
GR-010,story-system,题材路由,知识补充,都市异能|都市高武|超能力,都市异能怎么写|现代高武怎么写|能力觉醒,都市,现代秩序压住超凡冲突，能力兑现必须有代价。,都市异能要同时保留现代社会约束和超凡爽点，不能把都市写成换皮玄幻。,异能设定要先说明边界、代价、暴露风险和管理秩序。战斗可以强，但每次动用能力都要影响身份、资源或关系。禁止能力无限制升级，禁止公共场景打斗无人追责。,都市异能,都市,都市高武|现代异能|超凡都市,现代秩序下的能力反差,三章内展示能力代价与首次实战,异能无代价|现代秩序消失|战斗后没有后果,金手指与设定|场景写法|人设与关系,爽点与节奏|桥段套路|场景写法,异能|觉醒|现代高武
